keyword,final_score,competition_level,avg_views,total_likes,total_comments,video_count,is_automatizable,monetization_potential,views_norm,engagement_norm
invertir dinero,0.54,very_high,2533667.7333333334,1782921,6967,15,False,Muy Alto,1.0,0.7979132814504404
inteligencia artificial,0.29,very_high,647153.6666666666,510033,11693,15,False,Medio,0.25542167907520413,0.6430329779053587
inversiones seguras,0.242,very_high,765678.2666666667,609008,4850,15,False,Medio,0.3022015304506121,0.3781784317796695
criptomonedas para principiantes,0.229,high,61648.26666666667,29617,2933,15,False,Muy Alto,0.02433163033005959,0.13372266829345716
finanzas personales,0.199,very_high,186922.46666666667,124858,4174,15,False,Muy Alto,0.0737754458516739,0.21349786487115435
desarrollo web,0.189,high,56460.53333333333,56961,3340,15,False,Alto,0.02228411112890993,0.15879455816698088
programación para principiantes,0.182,very_high,172198.53333333333,159164,4489,15,False,Alto,0.06796413399747023,0.23658819119539054
presupuesto mensual,0.17,high,34580.86666666667,17164,649,15,False,Medio,0.013648540497917434,0.03256509567417552
educación financiera,0.169,high,56571.4,32536,995,15,False,Medio,0.022327868510830254,0.05167117556291919
ahorrar dinero,0.166,very_high,126293.33333333333,84397,6726,15,False,Medio,0.049846051900096555,0.31127615329882435
machine learning,0.151,very_high,493445.13333333336,282539,2944,15,False,Medio,0.19475526598909998,0.20512214533089135
aprender python,0.133,very_high,120209.53333333334,75685,2486,15,False,Alto,0.04744486885625834,0.12752791727025156
