keyword,search_volume,cpc,competition_index,trend_score,trend_direction,relative_interest,decision,analysis_date,data_source,trend_error
finanzas personales,37636,1.63,0.98,0.0,error,0,EVALUAR,2025-09-02 18:45:18,simulated,The request failed: Google returned a response with code 429
mejores productos tecnológicos,22165,2.87,0.82,0.0,error,0,EVALUAR,2025-09-02 18:45:21,simulated,The request failed: Google returned a response with code 429
review criptomonedas,26791,0.71,0.39,0.0,error,0,RECOMENDADO,2025-09-02 18:45:24,simulated,The request failed: Google returned a response with code 429
marketing digital,26044,0.46,0.23,0.0,error,0,RECOMENDADO,2025-09-02 18:45:27,simulated,The request failed: Google returned a response with code 429
salud y bienestar,29034,0.16,0.82,0.0,error,0,EVALUAR,2025-09-02 18:45:30,simulated,The request failed: Google returned a response with code 429
fitness en casa,9186,2.47,0.11,0.0,error,0,EVALUAR,2025-09-02 18:45:33,simulated,The request failed: Google returned a response with code 429
productos para mascotas,5395,0.25,0.71,0.0,error,0,EVALUAR,2025-09-02 18:45:36,simulated,The request failed: Google returned a response with code 429
viajes económicos,27393,2.5,0.11,0.0,error,0,EVALUAR,2025-09-02 18:45:39,simulated,The request failed: Google returned a response with code 429
cocina saludable,25757,2.66,0.88,0.0,error,0,EVALUAR,2025-09-02 18:45:43,simulated,The request failed: Google returned a response with code 429
desarrollo personal,12445,1.56,0.98,0.0,error,0,EVALUAR,2025-09-02 18:45:46,simulated,The request failed: Google returned a response with code 429
